row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,low_ses_non_native,brier,9.0,0.15810169455274706,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,9.0,0.08324568353834322,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,9.0,0.8141360825651218,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,9.0,0.8580346258928491,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,9.0,0.10831752459487616,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,9.0,0.029652677817340246,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,9.0,0.8386285787254663,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,9.0,-0.01306841372766232,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,9.0,0.0512862538864082,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,9.0,0.018450286896329438,,,,,
replicate,PV1MATH,regression,global,rmse,10.0,60.60893540647107,,,,,
replicate,PV1MATH,regression,global,r2,10.0,0.621456866308546,,,,,
replicate,PV1MATH,classification,global,auc,10.0,0.8867945634412651,,,,,
replicate,PV1MATH,classification,global,brier,10.0,0.13526201386982661,,,,,
replicate,PV1MATH,classification,global,ece,10.0,0.03054180908723627,,,,,
replicate,PV1MATH,classification,global,calibration_slope,10.0,0.7949764055982584,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,10.0,0.8472534544102777,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,10.0,0.15650319234155213,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,10.0,0.06656416599530299,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,10.0,0.8214579898018048,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,10.0,0.8609422847693434,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,10.0,0.10625522399232032,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,10.0,0.027054318516810106,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,10.0,0.8595939267493026,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,10.0,-0.013688830359065762,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,10.0,0.03602235690806672,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,10.0,0.026481584203546404,,,,,
replicate,PV1MATH,regression,global,rmse,11.0,60.826935287514885,,,,,
replicate,PV1MATH,regression,global,r2,11.0,0.6159009536952793,,,,,
replicate,PV1MATH,classification,global,auc,11.0,0.8817455922228661,,,,,
replicate,PV1MATH,classification,global,brier,11.0,0.1381342785012487,,,,,
replicate,PV1MATH,classification,global,ece,11.0,0.03551265648759559,,,,,
replicate,PV1MATH,classification,global,calibration_slope,11.0,0.7697924331341583,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,11.0,0.871479314029187,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,11.0,0.14267261903514508,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,11.0,0.07595099958784454,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,11.0,0.9333319770509463,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,11.0,0.850816027108545,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,11.0,0.10971777808933456,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,11.0,0.030073041121859576,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,11.0,0.8087982253886731,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,11.0,0.02066328692064201,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,11.0,0.04043834310024895,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,11.0,0.16353954391678793,,,,,
replicate,PV1MATH,regression,global,rmse,12.0,60.84884717819198,,,,,
replicate,PV1MATH,regression,global,r2,12.0,0.6217265603717251,,,,,
replicate,PV1MATH,classification,global,auc,12.0,0.883978297278333,,,,,
replicate,PV1MATH,classification,global,brier,12.0,0.13720726423342222,,,,,
replicate,PV1MATH,classification,global,ece,12.0,0.033143162033093074,,,,,
replicate,PV1MATH,classification,global,calibration_slope,12.0,0.7804150759727478,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,12.0,0.8632637508891349,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,12.0,0.14967347410660906,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,12.0,0.07719707300772916,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,12.0,0.9048466068783421,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,12.0,0.8511840411649243,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,12.0,0.10900654215032088,,,,,
