query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
221027,0.7733853459358215,1.0,-1.0,15.42,-0.8495,1.0,44.94,12.0,-0.7396,2.6149,-3.3928,0.743,-0.2357,0.0535,0.3254,-1.228,1.1246,-0.6386,-1.8922,-2.4425,-1.1527,-0.128,0.2085,,,,,,0.3346,0.4062,-1.4475,-0.033,0.6333,1.0
234623,0.4076010286808014,1.0,,16.0,0.8647,1.0,79.49,16.0,0.1693,,,,,,-0.2682,0.379,0.0877,1.8348,,,,,,0.2268,-0.1791,-1.4212,0.6676,,0.3346,0.4062,-0.4896,-0.6714,0.5961,1.0
237245,0.8751001954078674,0.0,0.0,16.17,-2.8118,1.0,17.0,9.0,-2.9284,,,-0.0423,-0.0212,,-0.4861,-1.228,-0.756,-0.6386,-1.6565,-0.0691,0.4357,0.0339,-0.9829,-0.8777,0.5404,1.7737,0.3976,-2.6528,,,,,,1.0
446142,0.27266624569892883,0.0,0.0,16.0,0.7046,1.0,81.13,16.0,-0.2818,-0.508,-0.1914,0.7059,-0.9437,,-0.3948,-0.391,-0.756,-0.6386,-0.004,-0.0902,-1.0693,0.4971,-1.0948,0.3894,-1.1783,0.3885,0.2765,-0.0289,0.3346,0.4062,-0.0573,0.281,0.3155,6.0
130214,0.9504613876342773,0.0,-1.0,15.42,,1.0,,,-0.8584,0.6387,-1.5468,-0.3614,0.8424,-0.7307,2.1143,-0.391,1.1246,-0.6386,,1.0086,1.5558,-0.56,-0.2955,1.1674,0.5642,2.9595,-0.2129,,0.3346,0.4062,-0.5228,0.6984,-0.2474,0.0
234785,0.3450818657875061,0.0,,15.67,-0.3053,1.0,44.14,14.5,-0.4179,-0.1371,0.1102,-0.6812,-0.252,-1.4622,0.3434,-1.228,-0.756,-0.6386,0.3488,-0.963,1.5558,-0.8109,0.2516,-0.335,1.0265,0.4997,0.028,,0.3346,0.4062,-0.5172,0.6984,-0.138,4.0
54004,0.9515178203582764,0.0,0.0,15.42,-1.6827,1.0,27.91,12.0,-1.9476,0.5595,-1.3391,0.7589,0.2437,-1.1813,-0.2482,0.1361,1.1246,-0.6386,1.6496,-0.0334,0.1475,0.0408,-0.0961,,,,,-2.6888,0.3346,0.4062,-0.5172,0.6984,0.5674,1.0
242206,0.9740186333656311,0.0,-1.0,16.0,-1.4351,1.0,43.33,12.0,-2.0504,,,0.7101,-1.759,,-0.6104,-1.228,1.1246,-0.6386,-1.9117,-0.1124,-0.1002,-0.7362,-1.9345,-0.4353,0.5404,0.1,0.3976,-1.9867,,,,,,1.0
513819,0.8156017065048218,1.0,-1.0,15.75,-1.609,1.0,36.97,9.0,-0.9786,0.4067,-0.4632,1.0392,-0.4371,-3.4811,-0.47,-1.228,,,1.7696,-0.5233,0.1475,0.2003,0.7024,,,,,,0.3346,0.4062,0.3023,-0.1759,0.9886,4.0
521093,0.19322261214256287,1.0,,16.08,0.8443,1.0,56.0,16.0,1.1684,-0.3744,-0.8032,0.4558,-0.2468,-0.6524,0.0612,-1.228,1.1246,-1.2135,1.667,1.6526,-0.3322,-1.4557,-0.5401,0.4918,0.1045,-1.4212,1.2511,2.1062,0.3346,0.4062,-0.327,0.1831,0.4671,1.0
399454,0.9915948510169983,1.0,-1.0,16.08,-1.7462,1.0,47.83,12.0,-2.9855,,,,,,0.0612,-1.228,-2.7886,0.4437,,,,,,,,,,-3.2793,,0.4062,-2.6482,3.242,-2.0101,1.0
359974,0.6116191744804382,0.0,0.0,16.33,-2.7723,1.0,11.01,9.0,-2.5679,-0.1224,0.0268,0.7471,2.3067,,-0.3261,0.6266,-1.5326,-0.6386,-0.6531,0.4628,0.4357,-0.2252,1.446,0.869,0.1302,1.6863,0.1757,,,,,,,1.0
214438,0.858256995677948,0.0,0.0,15.67,-1.5979,1.0,,12.0,-1.123,0.544,-0.8763,-0.619,-0.0365,-1.4778,-0.1361,1.0436,-0.756,1.8348,0.0853,-0.84,1.5558,2.3278,-0.2785,0.4282,-0.4697,-0.2692,1.0752,,0.3346,0.4062,-0.0325,-0.836,0.3155,2.0
510601,0.9269173741340637,0.0,-1.0,16.08,-0.3238,1.0,36.35,16.0,-0.7137,0.6387,-3.47,-0.1165,-0.2271,1.411,0.1912,1.1847,,,1.0732,0.4571,0.8211,-0.7399,-1.3163,-0.1603,-1.2401,0.4997,-0.7324,,0.3346,0.4062,-0.9839,-0.111,-0.8512,1.0
126411,0.8043813109397888,1.0,0.0,16.08,,1.0,,,0.4466,1.1606,-1.0988,-0.2872,-0.4624,-0.1033,2.1143,-0.391,-1.2649,1.6441,,-0.4763,-1.0693,-0.0458,0.2565,0.4781,-0.1662,2.9595,-0.5869,,0.3346,0.4062,2.2012,3.242,1.95,3.0
87896,0.34136462211608887,1.0,0.0,15.67,0.4295,1.0,76.65,16.0,-0.7318,1.1606,-0.342,-0.4686,-0.5979,-1.5137,-0.6376,0.6364,1.1246,,-1.1766,0.5807,,-0.0868,0.2802,0.869,0.9355,-1.4797,,-0.595,,,,,,10.0
594182,0.43568313121795654,0.0,1.0,16.17,,-1.0,,,,,,,,,,,,,,,,,,-2.5711,-2.0409,-1.4212,-1.4551,,,,,,,-1.0
