row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,classification,high_ses_native,auc,18.0,0.8564015787863403,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,18.0,0.1113157370482703,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,18.0,0.02876209120870029,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,18.0,0.8499377630906013,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,18.0,-0.017882983548406006,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,18.0,0.03324500393729586,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,18.0,0.012336505380554419,,,,,
replicate,PV1MATH,regression,global,rmse,19.0,59.671415896982346,,,,,
replicate,PV1MATH,regression,global,r2,19.0,0.6407363164554798,,,,,
replicate,PV1MATH,classification,global,auc,19.0,0.889190900973497,,,,,
replicate,PV1MATH,classification,global,brier,19.0,0.13546917419082202,,,,,
replicate,PV1MATH,classification,global,ece,19.0,0.02979048175496748,,,,,
replicate,PV1MATH,classification,global,calibration_slope,19.0,0.8163809748792433,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,19.0,0.8054214031526159,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,19.0,0.18462314799719604,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,19.0,0.11694098832277479,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,19.0,0.6988932496432233,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,19.0,0.8646739735619453,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,19.0,0.10944608247903806,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,19.0,0.02566243980284956,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,19.0,0.8761887191765378,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,19.0,-0.05925257040932941,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,19.0,0.0871505065678073,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,19.0,-0.11748772523602002,,,,,
replicate,PV1MATH,regression,global,rmse,20.0,59.71997523679495,,,,,
replicate,PV1MATH,regression,global,r2,20.0,0.6379425820890046,,,,,
replicate,PV1MATH,classification,global,auc,20.0,0.8895470913474451,,,,,
replicate,PV1MATH,classification,global,brier,20.0,0.13526581025864154,,,,,
replicate,PV1MATH,classification,global,ece,20.0,0.029648032748758858,,,,,
replicate,PV1MATH,classification,global,calibration_slope,20.0,0.816092927137285,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,20.0,0.8110149696924329,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,20.0,0.1782461174779341,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,20.0,0.09418753434163755,,,,,
