pv,estimand,task,group,metric,estimate,n
PV9MATH,senate,classification,low_ses_non_native,auc,0.8502560126839968,2495
PV9MATH,senate,classification,low_ses_non_native,brier,0.16225961649466208,2495
PV9MATH,senate,classification,low_ses_non_native,ece,0.05641392357048062,2495
PV9MATH,senate,classification,low_ses_non_native,calibration_slope,0.8132852021062509,2495
PV9MATH,senate,classification,high_ses_native,auc,0.8682378156595238,24678
PV9MATH,senate,classification,high_ses_native,brier,0.10725379035668568,24678
PV9MATH,senate,classification,high_ses_native,ece,0.016341075122739888,24678
PV9MATH,senate,classification,high_ses_native,calibration_slope,0.9387755329405161,24678
PV9MATH,senate,classification,contrast,auc_difference,-0.017981802975527095,27173
PV9MATH,senate,classification,contrast,ece_difference,0.033763427890320705,27173
PV9MATH,senate,classification,contrast,slope_difference,-0.05129288268097432,27173
PV10MATH,population,regression,global,rmse,59.593285878019735,122749
PV10MATH,population,regression,global,r2,0.636068039400826,122749
PV10MATH,population,classification,global,auc,0.8852219029658472,122749
PV10MATH,population,classification,global,brier,0.13827594269201662,122749
PV10MATH,population,classification,global,ece,0.032432624088631526,122749
PV10MATH,population,classification,global,calibration_slope,0.7903645068818964,122749
PV10MATH,population,classification,low_ses_non_native,auc,0.7383411922279098,2495
PV10MATH,population,classification,low_ses_non_native,brier,0.22133578653811503,2495
PV10MATH,population,classification,low_ses_non_native,ece,0.12937422377157862,2495
PV10MATH,population,classification,low_ses_non_native,calibration_slope,0.45919325645895,2495
PV10MATH,population,classification,high_ses_native,auc,0.8608047154516804,24678
PV10MATH,population,classification,high_ses_native,brier,0.11151649902799585,24678
PV10MATH,population,classification,high_ses_native,ece,0.031623097538178845,24678
PV10MATH,population,classification,high_ses_native,calibration_slope,0.8564313701686855,24678
PV10MATH,population,classification,contrast,auc_difference,-0.12246352322377052,27173
PV10MATH,population,classification,contrast,ece_difference,0.09694159968294709,27173
PV10MATH,population,classification,contrast,slope_difference,-0.33117125042294643,27173
PV10MATH,senate,regression,global,rmse,64.16686640428368,122749
PV10MATH,senate,regression,global,r2,0.6181025752024571,122749
PV10MATH,senate,classification,global,auc,0.8782862657374061,122749
PV10MATH,senate,classification,global,brier,0.1424818689543293,122749
PV10MATH,senate,classification,global,ece,0.023737989208026652,122749
PV10MATH,senate,classification,global,calibration_slope,0.8580416866901476,122749
