student_idx,predicted_probability,feature,shap_contribution,rank
256561,0.8425952792167664,MATHEFF,0.8179792932400415,1
256561,0.8425952792167664,BELONG,0.6110787912364367,2
256561,0.8425952792167664,FAMCON,0.3680191828392026,3
256561,0.8425952792167664,DISCLIM,0.2762719924657631,4
256561,0.8425952792167664,MATHPERS,0.2543684523879801,5
256561,0.8425952792167664,ICTSUBJ,0.24887908178100587,6
256561,0.8425952792167664,ST004D01T,0.24829039227512112,7
256561,0.8425952792167664,HISEI,0.2348330279191214,8
256561,0.8425952792167664,ICTEFFIC,0.2167870210686192,9
256561,0.8425952792167664,STUBEHA,0.1515618031134727,10
7530,0.7022451758384705,GRADE,0.5459126738339001,1
7530,0.7022451758384705,HISEI,0.3408084095454524,2
7530,0.7022451758384705,DISCLIM,0.2979861581713709,3
7530,0.7022451758384705,EDUSHORT,0.277654853809272,4
7530,0.7022451758384705,MATHEFF,0.24524124801941072,5
7530,0.7022451758384705,HOMEPOS,0.23063310129917228,6
7530,0.7022451758384705,COGACRCO,0.2147948546592488,7
7530,0.7022451758384705,FAMCON,0.14800897219235595,8
7530,0.7022451758384705,MATHPERS,0.14104420734268389,9
7530,0.7022451758384705,ICTSCH,0.12547373475994392,10
153182,0.9294934868812561,ICTRES,0.6432577502970526,1
153182,0.9294934868812561,HOMEPOS,0.5914955933269357,2
153182,0.9294934868812561,COGACMCO,0.38037993899985395,3
153182,0.9294934868812561,FAMSUP,0.332033593640499,4
153182,0.9294934868812561,EDUSHORT,0.31621590467175337,5
153182,0.9294934868812561,TEACHBEHA,0.29475564801961807,6
153182,0.9294934868812561,FEELSAFE,0.24893037078545605,7
153182,0.9294934868812561,STUDYHMW,0.22286523498220048,8
153182,0.9294934868812561,TEACHSUP,0.22011869378769916,9
153182,0.9294934868812561,STAFFSHORT,0.21735614267590792,10
152824,0.9397991895675659,HOMEPOS,0.8202354053614545,1
152824,0.9397991895675659,MATHEFF,0.5290890904635489,2
152824,0.9397991895675659,ICTRES,0.504910479290727,3
152824,0.9397991895675659,COGACMCO,0.4732970297611337,4
152824,0.9397991895675659,IMMIG,0.38886503670375533,5
152824,0.9397991895675659,ANXMAT,0.3715421965556061,6
152824,0.9397991895675659,ST004D01T,0.26180990502442003,7
152824,0.9397991895675659,FAMSUP,0.17982703106232292,8
152824,0.9397991895675659,STUDYHMW,0.16472182580193476,9
152824,0.9397991895675659,HISEI,0.1436985925098634,10
