pv,estimand,task,group,metric,estimate,n
PV5MATH,senate,classification,contrast,auc_difference,0.0034746755236867433,27442
PV5MATH,senate,classification,contrast,ece_difference,0.026097985580035073,27442
PV5MATH,senate,classification,contrast,slope_difference,0.00941451445039121,27442
PV6MATH,population,regression,global,rmse,61.47426514660024,123406
PV6MATH,population,regression,global,r2,0.6192620631832604,123406
PV6MATH,population,classification,global,auc,0.8873314340766787,123406
PV6MATH,population,classification,global,brier,0.13564412377843552,123406
PV6MATH,population,classification,global,ece,0.03148752122387074,123406
PV6MATH,population,classification,global,calibration_slope,0.8022448466406215,123406
PV6MATH,population,classification,low_ses_non_native,auc,0.8178991340655223,2533
PV6MATH,population,classification,low_ses_non_native,brier,0.17618625713990924,2533
PV6MATH,population,classification,low_ses_non_native,ece,0.085571160383551,2533
PV6MATH,population,classification,low_ses_non_native,calibration_slope,0.7087102711864754,2533
PV6MATH,population,classification,high_ses_native,auc,0.8575873525038596,24909
PV6MATH,population,classification,high_ses_native,brier,0.10862592530032518,24909
PV6MATH,population,classification,high_ses_native,ece,0.029193521903011815,24909
PV6MATH,population,classification,high_ses_native,calibration_slope,0.8335378054024595,24909
PV6MATH,population,classification,contrast,auc_difference,-0.039688218438337364,27442
PV6MATH,population,classification,contrast,ece_difference,0.054083639159680265,27442
PV6MATH,population,classification,contrast,slope_difference,-0.09353457545414601,27442
PV6MATH,senate,regression,global,rmse,65.07107230043815,123406
PV6MATH,senate,regression,global,r2,0.6020953677847849,123406
PV6MATH,senate,classification,global,auc,0.8776270276835993,123406
PV6MATH,senate,classification,global,brier,0.14274683602137914,123406
PV6MATH,senate,classification,global,ece,0.022344716145657726,123406
PV6MATH,senate,classification,global,calibration_slope,0.86076365388222,123406
PV6MATH,senate,classification,low_ses_non_native,auc,0.8535652644758176,2533
PV6MATH,senate,classification,low_ses_non_native,brier,0.15790868753141687,2533
PV6MATH,senate,classification,low_ses_non_native,ece,0.03946573043732611,2533
PV6MATH,senate,classification,low_ses_non_native,calibration_slope,0.8768641683063554,2533
PV6MATH,senate,classification,high_ses_native,auc,0.8547366688689712,24909
PV6MATH,senate,classification,high_ses_native,brier,0.11028887916565099,24909
PV6MATH,senate,classification,high_ses_native,ece,0.01824604711035359,24909
PV6MATH,senate,classification,high_ses_native,calibration_slope,0.8848446869508132,24909
PV6MATH,senate,classification,contrast,auc_difference,-0.0011714043931535523,27442
PV6MATH,senate,classification,contrast,ece_difference,0.017121014291668384,27442
PV6MATH,senate,classification,contrast,slope_difference,0.016100514424135404,27442
PV7MATH,population,regression,global,rmse,60.8937638340374,123406
PV7MATH,population,regression,global,r2,0.6234612960128343,123406
PV7MATH,population,classification,global,auc,0.8901011855294624,123406
PV7MATH,population,classification,global,brier,0.13307290081656234,123406
PV7MATH,population,classification,global,ece,0.02842376925801233,123406
PV7MATH,population,classification,global,calibration_slope,0.8125737660797071,123406
PV7MATH,population,classification,low_ses_non_native,auc,0.8383739877926246,2533
PV7MATH,population,classification,low_ses_non_native,brier,0.16215461241174656,2533
PV7MATH,population,classification,low_ses_non_native,ece,0.07742627331488378,2533
PV7MATH,population,classification,low_ses_non_native,calibration_slope,0.7465473510216226,2533
PV7MATH,population,classification,high_ses_native,auc,0.855622449769125,24909
PV7MATH,population,classification,high_ses_native,brier,0.10650944928720808,24909
PV7MATH,population,classification,high_ses_native,ece,0.02531254273753847,24909
PV7MATH,population,classification,high_ses_native,calibration_slope,0.8294925207272676,24909
PV7MATH,population,classification,contrast,auc_difference,-0.01724846197650043,27442
PV7MATH,population,classification,contrast,ece_difference,0.04900250405687145,27442
PV7MATH,population,classification,contrast,slope_difference,-0.06602641505808449,27442
PV7MATH,senate,regression,global,rmse,64.81365828206019,123406
PV7MATH,senate,regression,global,r2,0.6044018363544754,123406
PV7MATH,senate,classification,global,auc,0.8779271067880197,123406
PV7MATH,senate,classification,global,brier,0.14250414435933756,123406
PV7MATH,senate,classification,global,ece,0.02201536186070675,123406
PV7MATH,senate,classification,global,calibration_slope,0.8600222981224682,123406
PV7MATH,senate,classification,low_ses_non_native,auc,0.8531490259245998,2533
PV7MATH,senate,classification,low_ses_non_native,brier,0.15787864665395154,2533
PV7MATH,senate,classification,low_ses_non_native,ece,0.03970768201033628,2533
PV7MATH,senate,classification,low_ses_non_native,calibration_slope,0.8562535205369267,2533
PV7MATH,senate,classification,high_ses_native,auc,0.8543895072311511,24909
PV7MATH,senate,classification,high_ses_native,brier,0.11024681594282984,24909
PV7MATH,senate,classification,high_ses_native,ece,0.017107712625121604,24909
PV7MATH,senate,classification,high_ses_native,calibration_slope,0.8817251447553263,24909
PV7MATH,senate,classification,contrast,auc_difference,-0.0012404813065512998,27442
PV7MATH,senate,classification,contrast,ece_difference,0.017692320149629532,27442
PV7MATH,senate,classification,contrast,slope_difference,-0.003768777585541505,27442
PV8MATH,population,regression,global,rmse,60.88910646941376,123406
